site_no,Visummer,VI winter,Vispring,VI fall,StreamOrde,DrainageArea,D50_mm,AI,Ludev,Luforest,Luagri,Mean Elev,Slope,Mean discharge,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,Pred Wbank,Pred D bank,Pred W mean,Pred D mean,Soil erodib factor,Rainfall,HydraulicCOnductivity,Permeability,Rating Curve Coeff,RatingCurve Exponent
7182510,0.17,0.34,0.34,0.16,6,7880.6709,0.4907273,0.610475,22.23,8.54,54.69,30374,1.00E-05,49.10356996,56.1,36.12,7.77,61.624374,3.4534676,49.31138,1.8649795,0.3207,989.2839052,142.5067,2.238503804,0.702732552,0.345701871
9147500,0.17,0.22,0.26,0.12,4,1206.7551,0.38059318,0.1826625,1.54,54.07,15.94,188434,0.00855129,7.947166834,45.7,31.79,22.51,22.22894,0.9382455,13.470072,0.49264875,0.2789,441.5723256,1.4957,2.387821404,0.318639155,0.469918263
6923950,0.1,0.28,0.24,0.09,5,1546.0866,7.245444,0.7405,7.2,42.43,16.79,21221,0.00239687,16.83136493,34.54,47.83,17.63,52.348072,2.0208209,55.923775,0.9645299,0.36,1121.510667,0.1224,3.33,0.360624746,0.465650074
6899700,0.21,0.39,0.42,0.15,5,1005.1173,1.6906711,0.695825,4.42,8.36,73.02,21727,0.00139372,8.441323329,57.14,31.64,11.01,34.41759,2.4745994,27.040955,1.1986147,0.3068,1017.44981,0.2005,2.126144481,1.2684178,0.257763138
2479160,0.34,0.48,0.43,0.31,5,1815.7473,0.34828752,1.0854,2.86,7.63,0,1840,1.00E-05,36.51581746,40.66,16.42,42.92,50.791656,3.0659733,41.548084,1.4227123,0.24,1608.239174,6.898,4.691385887,0.767420437,0.296836707
7239450,0.26,0.36,0.22,0.29,6,34031.3481,0.59303844,0.43205,3.55,7.93,53.13,40203,0.00057744,8.589646732,38.45,19.25,42.3,38.628902,1.8325121,26.530764,1.0876311,0.2576,859.2189164,20.2946,9.828359157,0.950557699,0.185537858
2105769,0.28,0.49,0.46,0.22,7,13637.5722,0.22499555,0.8717,0.82,11.23,14.89,349,0.0001634,162.5008047,20.18,19.12,60.69,99.16755,5.551185,84.202095,3.8012948,0.1444,1269.390959,7.427,12.88182685,0.096086981,0.6650326
6700000,0.1,0.13,0.13,0.09,5,4207.4928,1.1274949,0.262025,0,7.07,0,208659,0.01329309,5.296147925,26.56,8.84,64.6,33.51726,1.3005803,36.02299,1.4314005,0.1901,500.3592799,0.0002,26.69,0.300546462,0.593300881
9413500,0.13,0.13,0.11,0.13,6,10013.9004,0.0396472,0.079525,0,0.61,0,73252,0.00144831,6.753726939,37.45,15.79,46.89,36.729874,1.8529235,49.324337,1.7286627,0.2514,205.9838835,0.1796,7.378746439,0.261896466,0.443515335
7331000,0.31,0.37,0.29,0.28,6,18573.5043,0.6225803,0.568357143,2.68,15.03,23.08,20268,1.00E-05,62.33411384,43.85,21.49,34.66,67.57243,2.5911412,49.901707,1.8150175,0.3339,996.7081445,0.0001,6.610739796,0.210724129,0.651248053
1054300,0.29,0.38,0.51,0.25,3,340.3629,0.16941322,1.11878,3.82,65.53,8.08,18974,0.00028571,7.430328582,27.34,3.44,69.22,19.139193,1.655905,20.60437,1.0030545,0.1936,1152.650434,0.0776,27.86390661,0.774653129,0.293341716
6711565,0.14,0.2,0.19,0.1,5,8780.6574,1.5472622,0.24115,98.37,0.2,0,160127,0.0009923,8.586786735,36.36,26.03,37.65,33.942986,1.7289582,25.909557,1.04335,0.2817,432.3718541,1.2708,10.64909427,0.214276859,0.51288587
8015500,0.32,0.49,0.42,0.19,6,4465.323,0.41539678,1.0154,20.75,10.78,0,601,0.00177777,78.6121968,48.15,21.62,30.23,67.1784,2.6644573,70.25781,2.6867166,0.374,1570.609173,112.229,3.72,0.95422632,0.216246971
3574500,0.25,0.52,0.52,0.22,4,815.7834,4.207382,1.013742857,5.04,28.08,42.43,17653,6.79E-05,20.47576554,43.56,26.68,29.67,45.955837,2.2675657,40.879402,1.28102,0.2549,1415.144308,0.0352,5.028232013,1.075611304,0.171451868
1059000,0.27,0.37,0.43,0.18,5,8479.2591,0.17820586,1.103427273,46.5,30.41,12.18,3298,0.0003688,184.1197761,46.71,13.16,40.13,129.27733,5.336093,118.0284,3.5673406,0.2573,1178.916213,0.1922,12.42436911,0.118150063,0.65494422
5469000,0.18,0.38,0.51,0.13,5,1129.6737,0.40006557,0.73022,3.91,33.71,56.3,17039,1.00E-05,9.85883407,72.07,21.73,6.2,53.067497,2.829912,42.67106,1.1122223,0.3078,933.198086,5.7994,3.478125685,0.930990796,0.211517878
4027000,0.25,0.36,0.52,0.21,5,1549.225,1.3219812,0.85525,2.71,89.89,0.26,20436,0.00031287,17.80084725,40.09,40.64,19.27,49.745853,2.0041735,61.96231,1.5554109,0.28,811.5964838,0.0271,1.98,0.287823227,0.606101304
7049000,0.33,0.5,0.42,0.27,4,685.6929,1.503148,0.8,3.81,53.83,37.52,36000,1.00E-05,11.16157682,38.88,39.08,22.04,35.809063,2.1070719,31.76731,0.89906013,0.4,1192.701378,0.0148,4.64,0.535140819,0.433737962
3284500,0.27,0.54,0.49,0.22,6,11433.8295,0.8732929,0.9273,2.85,78.19,13.97,16078,0.00044812,181.4559864,52.28,38.31,9.41,117.95373,8.82838,101.82877,8.1342125,0.33,1142.552549,0.0145,3.5,0.061839479,0.866581593
5356000,0.25,0.42,0.5,0.2,4,2103.6915,9.793938,0.86818,3.43,55.76,12.79,38356,0.00069387,21.26628567,54.98,11.3,33.72,53.935852,1.8684763,50.106773,0.9797803,0.34,838.5596484,0.0801,3.96,0.226048173,0.601249913
7161450,0.19,0.32,0.24,0.18,6,75147.8049,0.74664426,0.53166,4.77,32.64,21.16,24648,0.00017452,70.01459305,27.82,15.66,56.52,133.59467,2.5713067,42.292656,0.6085963,0.2326,964.233107,2.3026,16.5506911,0.441090369,0.336219174
1576500,0.24,0.36,0.34,0.2,5,858.0204,0.35322237,0.822458824,81.23,11.81,3.8,7002,0.00045875,13.40044469,49.51,22.42,28.08,42.17117,1.9491831,34.40016,1.3198395,0.3493,1094.087364,0.0367,4.330598239,0.277597059,0.580013854
7183000,0.18,0.41,0.24,0.17,6,9918.0387,0.70106643,0.6522,0.8,18.82,64.29,28175,1.00E-05,65.44627186,54.26,35.93,9.8,76.079735,3.7331994,70.33478,2.2702694,0.3577,1082.032192,118.2939,2.189041643,0.175410872,0.542747603
1471000,0.31,0.42,0.44,0.26,5,563.4252,0.5329509,0.898128571,48.96,17.16,32.19,6658,0.00024809,9.750210821,54.25,35.6,10.15,32.11535,1.7629744,28.01564,0.5719371,0.34,1098.380335,0.0488,3.893752279,0.228188482,0.68682108
7014500,0.28,0.52,0.38,0.22,7,3852.405,1.7412553,0.7481,7.21,47.56,41.75,17757,1.00E-05,39.17725695,38.73,39.32,21.95,60.731586,2.7555895,55.697918,2.3206227,0.3654,1114.687269,0.0766,5.545672848,0.256432486,0.585048376
1573560,0.27,0.45,0.44,0.2,5,1249.8786,0.4732621,0.8606,25.33,29.63,28.07,9967,0.00042857,22.32001047,52.88,21.54,25.52,45.497856,2.2184765,39.09498,1.7223084,0.3205,1090.360089,0.0036,7.332495127,0.341243001,0.447252974
6191500,0.17,0.19,0.17,0.16,6,6781.9968,2.3321016,0.36894,3.31,23.29,0.5,154454,0.00542259,92.33701044,35.68,18.93,45.38,69.83305,1.5677395,69.703415,0.89986295,0.2874,332.3578834,0.6154,9.92799875,0.211385178,0.502091852
5471000,0.2,0.3,0.32,0.13,5,1453.032,0.19586432,0.707566667,61.42,0.25,27.33,26519,0.00217843,12.39811488,37.47,22.29,40.24,39.70027,1.9442729,36.998825,0.843522,0.2445,925.5835908,218.0998,10.5131823,0.676909379,0.287109774
8085500,0.22,0.25,0.18,0.26,6,10423.2114,0.64692605,0.316733333,3.98,6.42,15.15,35639,0.00143882,5.987106186,41.33,39.53,19.14,36.213207,2.0849314,53.647438,1.3500475,0.2874,738.3160516,44.3091,2.266866513,2.03132735,0.148635796
2178400,0.24,0.53,0.49,0.21,4,152.1,1.4949591,1.298266667,11.59,81.3,5.28,56780,0.00234349,5.353970832,31.84,19.6,48.57,25.447996,1.1402882,23.960087,0.71530855,0.2329,1702.796484,0.0135,6.62,0.321420323,0.535300321
5418500,0.21,0.35,0.42,0.15,6,4010.4801,0.42828345,0.759228571,4.07,23.38,61.13,19559,0.0008832,35.02304066,60.04,18.93,21.03,70.88916,2.728221,61.720345,1.1180304,0.2848,909.2903398,0.0805,9.138544263,0.493386972,0.411659104
7145200,0.2,0.32,0.27,0.22,4,1546.0812,0.36735338,0.412816667,3.33,9.65,21.9,41506,0.0010379,6.352053117,30.82,21.06,48.12,33.336056,1.6169287,32.383694,0.89432925,0.2478,812.2279164,94.6076,14.42202334,0.335396034,0.389754616
3029500,0.24,0.42,0.48,0.22,5,2092.4163,0.37273577,1.08415,7.75,83.71,0,34703,0.00102704,43.82667746,46.62,16.75,36.63,60.321926,1.7603837,62.183624,0.978633,0.231,1163.436839,0.1828,19.22115425,0.235898975,0.564504633
7260500,0.29,0.45,0.41,0.23,5,1975.3785,0.37754932,0.8208,29.6,12.3,53.1,9758,1.00E-05,24.86461484,54.88,24.35,20.76,53.17832,3.139715,34.433914,1.1411166,0.39,1273.653915,0.2254,2.481064302,0.886283321,0.200692903
5471050,0.21,0.4,0.39,0.15,5,2087.7579,0.4939736,0.72475,73.2,6.72,12.47,23786,0.00151757,17.44045932,61.63,30.12,8.25,52.493813,2.587373,41.731903,0.7549676,0.312,908.4689346,245.1742,2.706286472,0.524239519,0.410310558
7061900,0.23,0.53,0.49,0.2,4,360.7767,0.26370424,0.81075,16.39,43.54,19.12,19463,0.00253012,5.54120152,53.42,35.3,11.28,28.720432,1.4204161,23.05672,1.0799822,0.36,1189.225577,0.0657,3.02,0.372951431,0.38650831
2361000,0.32,0.51,0.46,0.27,5,1779.237,0.46466696,0.825366667,13.52,51.98,10.84,4392,0.00065533,27.65251717,18.78,22.68,58.54,47.442135,2.4076865,45.302414,1.4999387,0.15,1396.646636,70.9957,9.03,1.415683555,0.206662577
6917000,0.18,0.4,0.38,0.15,4,766.5777,3.3922553,0.703766667,20.23,21.8,54.14,23993,0.00013579,7.674645941,55.48,36.35,8.25,33.684956,2.440014,27.140661,0.9304536,0.3185,1102.110003,124.7011,2.512125769,1.398356349,0.18361627
6054500,0.15,0.18,0.17,0.13,7,37586.3238,2.4041696,0.198575,0.31,3.73,8.37,119095,0.00185276,150.4189885,43.13,18.32,38.5,101.018814,2.7444344,105.90744,1.2635247,0.3014,336.3905991,33.0744,4.868150452,0.171744151,0.543437452
2077000,0.26,0.51,0.48,0.22,5,1418.3847,0.4400002,0.799025,13.91,65.34,6.01,9996,3.77E-05,15.35840989,38.86,32.16,28.98,41.004284,2.1976721,31.501692,1.2433845,0.2901,1125.629345,0.143,3.692887782,1.113839364,0.285658755
5391000,0.25,0.36,0.49,0.23,4,1949.4495,3.1263993,0.874688889,4.67,58.44,0.03,47843,0.00048588,18.83840315,20.55,5.68,73.77,48.259476,1.7854123,50.44977,0.8947259,0.1492,802.4814147,126.2674,18.48588216,0.329808609,0.654026826
9234500,0.17,0.17,0.17,0.17,7,38332.4274,2.3920245,0.191175,4.17,48.87,0.12,170700,0.00528482,72.68308342,45.32,22.2,32.48,92.95403,1.7463833,123.89066,1.4088173,0.295,291.3516095,0.4543,4.86,0.182809138,0.720942647
2359000,0.35,0.41,0.41,0.33,5,2174.9175,0.3973801,0.923275,10.58,71.38,0,1071,1.00E-05,42.91297924,22.24,17.88,59.87,62.265766,2.65094,52.125763,1.9095349,0.1352,1495.594832,0.2534,13.6106723,0.784070899,0.406656053
3540500,0.23,0.53,0.48,0.18,6,1982.0448,0.62950605,1.05835,26.68,59.82,5.96,23459,0.00015015,44.87785375,49.83,26.49,23.63,66.64897,2.2654164,56.69301,1.6293209,0.3083,1413.635324,0.2193,6.34590604,0.576367101,0.368084736
1558000,0.24,0.4,0.54,0.2,4,579.2175,0.52887833,0.865633333,5.31,34.09,60.07,22989,0.0034154,11.38089044,54.08,35.33,10.6,35.999004,1.8655926,33.311504,0.65529126,0.3292,1039.540211,0.1014,4.00515431,0.295691921,0.516083331
9149500,0.16,0.22,0.29,0.12,5,2859.1218,0.57367885,0.115371429,44.5,0.22,37.71,149834,0.00433544,9.330159395,56.9,28.88,14.22,33.831593,1.6220922,24.203674,0.942065,0.3129,208.8894118,68.0455,1.424475836,0.353675882,0.763785873
7364133,0.21,0.32,0.39,0.2,5,1022.6592,0.29272363,0.878988889,4.9,1.11,63.19,4706,1.00E-05,15.11737728,50.51,36.55,12.94,38.669796,2.8573115,34.287502,2.0467224,0.3927,1319.00812,81.7779,3.524937725,1.018850617,0.460868879
3142000,0.26,0.39,0.37,0.19,5,1058.7528,5.526597,0.848933333,77.04,16.05,3.83,23561,0.00018193,12.89283771,58.17,27.2,14.64,39.791866,1.8184704,33.835457,1.2508551,0.3752,1009.217251,0.0649,2.470171731,0.683425708,0.554454914
3269500,0.26,0.48,0.43,0.19,6,1270.4679,6.2668166,0.83535,49.67,16.48,26.37,27055,1.00E-05,15.13575489,51.56,26.63,21.81,45.82094,1.8203381,36.36551,0.9840362,0.37,1043.474394,0.0537,2.13,0.404724132,0.412901829
1582500,0.26,0.53,0.51,0.2,5,415.278,2.5651321,0.87796,17.75,68.69,11.95,7593,0.00239593,5.856622367,52.49,17.33,30.18,29.368288,1.2824773,27.005793,0.9384546,0.35,1160.669517,0.0647,5.13,0.634633771,0.398578665
3404000,0.25,0.5,0.46,0.22,6,4167.8712,2.4104798,0.994677778,59.97,25.1,9.88,27386,1.00E-05,78.56037705,55.28,24.16,20.56,76.98763,3.2885115,73.87153,1.8737272,0.3337,1283.658317,17.2772,5.254722809,0.376229918,0.569193107
6930000,0.17,0.57,0.48,0.18,5,1427.4153,2.0290918,0.7666,11.39,78.48,6.33,24690,0.00027343,15.8982697,39.35,40.69,19.95,41.953293,1.9934884,34.537006,1.5992782,0.3606,1148.542358,0.1822,4.9,0.470346333,0.413006361
4268000,0.29,0.38,0.48,0.19,5,2913.598,0.27888438,0.9884,11.86,22.92,18.28,5627,0.0012987,66.80938602,34.22,7.28,58.5,71.65335,2.6440456,71.49255,2.0130994,0.1783,947.9998489,0.0516,19.64270261,0.174409278,0.611293828
7375500,0.33,0.51,0.44,0.25,5,1678.2381,0.25533274,1.0819,7.88,19.57,0.13,436,0.00206775,36.26107952,51.06,19.82,29.12,53.373726,2.2171047,45.59946,1.5918404,0.3647,1597.541562,86.5881,3.119631512,0.760571107,0.217295127
8110000,0.27,0.38,0.35,0.32,5,2626.5843,0.12858766,0.6063625,7,29.84,51.53,6101,3.67E-05,7.181112417,33.6,43.66,22.74,35.038715,2.4055226,20.49386,1.453159,0.3277,1008.164854,22.2138,3.781325732,0.817896376,0.285030421
9354500,0.14,0.14,0.15,0.12,4,1345.032,0.4554636,0.22025,4.22,8.3,10.84,187276,0.00679951,7.690163548,40.78,19.03,40.18,25.47477,1.0189503,17.082802,0.9831435,0.2691,366.3773253,4.6169,14.74040113,0.324870325,0.415808678
5555300,0.19,0.42,0.45,0.14,5,3248.4717,6.656534,0.7641,0,42.06,47.35,16043,0.00141776,29.54263532,53.97,35.05,10.97,60.9856,2.1613479,50.76066,1.0436428,0.35,917.8232751,0.0483,1.61,0.408337952,0.539042781
6904050,0.21,0.43,0.43,0.16,5,2248.6779,1.2766361,0.748875,3.17,14.92,71.82,23829,1.00E-05,19.07295121,42.78,34.31,23.12,41.05416,2.3649912,30.760067,2.0588744,0.3169,997.3336107,0.0999,1.797820225,0.697417254,0.459206278
3076500,0.2,0.53,0.54,0.17,5,763.2108,0.2529375,1.017828571,8.37,81.47,7.65,44884,0.00424411,18.87824489,53.31,21.69,25,43.740185,1.4333571,40.30026,0.9164388,0.3031,1165.03872,0.0988,11.53967589,0.157109254,0.59215809
2341800,0.29,0.43,0.4,0.23,5,883.4607,0.42777148,0.8201,12.34,70.13,0,7340,1.00E-05,12.83971539,21.73,25.71,52.56,46.33523,2.3503094,52.649216,1.4314681,0.24,1217.348371,7.1706,6.000909091,0.416627599,0.516851378
3265000,0.27,0.34,0.44,0.22,5,1306.0377,6.1181383,0.81315,15.92,15.43,61.44,26084,1.00E-05,13.45481295,51.89,29.25,18.86,52.68748,2.0088236,35.16531,0.7833364,0.3612,1001.390997,0.0691,4.77641791,0.305421525,0.582394051
2423555,0.27,0.51,0.43,0.21,5,866.1951,1.0371685,0.989014286,26.26,55.32,3.06,11017,0.00129603,13.95859715,43.48,25.79,30.73,40.500607,2.0288982,36.427986,1.4059844,0.31,1419.484485,0.1356,4.08,0.358795321,0.740538315
5573540,0.21,0.33,0.29,0.16,5,2440.5795,0.36050338,0.77806,84.81,5.46,1.41,17973,1.00E-05,19.75190315,56.2,26.14,17.66,80.20529,2.5745237,41.6413,1.4638534,0.315,1007.442437,0.0292,2.958270437,0.658790717,0.408879548
6809210,0.16,0.26,0.29,0.14,5,1139.3298,0.23937222,0.6576,5.52,0,86.22,34137,1.00E-05,8.352833325,65.72,30.54,3.77,42.722275,3.000281,25.98603,1.102466,0.3121,890.253888,123.0001,2.902669323,0.595670261,0.337781417
8153500,0.22,0.31,0.28,0.27,4,2342.7396,0.4439852,0.42155,24.31,23.82,0.25,33307,0.00319111,6.551856465,45.27,38.41,16.32,39.533714,1.9741639,21.83521,0.8366921,0.3044,837.1483424,0.0619,1.89165176,0.134683975,0.539302076
8064100,0.27,0.4,0.31,0.31,4,2091.3777,0.3222404,0.54256,3.34,6.29,53.78,10498,0.00030487,13.88924931,33.56,56.28,10.16,33.540173,3.3048787,15.778049,1.7349398,0.3525,987.3494074,35.2514,1.390016294,0.944340452,0.368797041
5592000,0.21,0.42,0.38,0.18,6,2742.3504,0.4060091,0.7996,8.65,45.19,32.69,16681,1.00E-05,26.4016508,53.93,24,22.08,71.02234,2.6668217,57.793537,1.4419193,0.3055,1022.205934,0.1875,4.566634615,0.423147909,0.702012853
3165500,0.28,0.51,0.5,0.23,5,3496.9563,2.9654484,0.831833333,12.23,36.69,30.25,59121,0.00047344,67.11741618,37.54,34.86,27.6,78.29656,2.5044801,88.32669,1.6511048,0.3339,1032.336483,0.0576,6.19,0.12253392,0.730443449
5465000,0.19,0.38,0.41,0.14,6,20156.6295,0.913344,0.741425,4.06,6.44,34.64,17686,1.00E-05,177.0943212,39.3,18.09,42.61,155.815,3.3106437,160.71602,1.1980857,0.2605,937.0314802,122.3192,14.45941307,0.300743405,0.358726744
5454500,0.18,0.3,0.28,0.14,6,8452.8603,0.69217896,0.7203,87.32,5.35,1.18,19199,0.00030128,71.12885916,63.83,28.41,7.77,92.98796,4.510157,71.1141,1.7836643,0.3117,930.794962,43.0125,3.49813901,0.282110964,0.586554127
5413500,0.23,0.49,0.46,0.16,5,710.5275,0.8389999,0.756753333,3.51,47.23,42.29,18474,0.00043539,5.351733805,58.83,31.95,9.22,29.264038,2.2519784,20.192883,0.88746405,0.3211,893.7314301,0.197,2.914062368,1.024970172,0.288228854
8317400,0.09,0.1,0.12,0.08,7,29246.517,0.9283521,0.137725,12.97,0,7.97,159200,0.00410218,76.49984839,35.09,19.71,45.2,85.52707,1.7638799,62.7675,1.3087302,0.2848,300.2984029,2.9912,9.199524441,0.166784984,0.553385193
3098600,0.19,0.28,0.29,0.14,5,2533.0041,6.9835234,0.816,95.53,1.24,0.28,25209,1.00E-05,29.67815952,50.24,18.96,30.8,60.507923,2.3395145,49.43653,1.88983,0.3706,976.8817474,0.0814,7.505667823,0.196568957,0.8318276
6481000,0.15,0.23,0.44,0.13,5,7599.7206,1.9674757,0.504566667,6.27,11.4,67.67,44739,1.00E-05,9.450335899,53.1,30.58,16.31,37.42615,3.1283152,29.383406,1.1385125,0.29,677.4911471,48.6602,3.33,0.65537516,0.260639209
3021350,0.3,0.51,0.55,0.2,3,248.5863,0.22180939,1.164166667,4.76,49.31,42.17,39180,0.00367846,6.356442221,56.42,18.23,25.35,25.79895,1.4766114,23.197159,1.3079654,0.3241,1207.089323,0.0671,4.739932065,0.306303961,0.563756138
5481950,0.23,0.4,0.39,0.15,4,951.9255,0.2626358,0.6819,8.3,7.26,67.7,24827,1.00E-05,6.608206899,36.93,22.23,40.84,31.503654,1.9451938,25.195341,1.0943999,0.2405,902.7843133,0.0466,11.34,0.622875863,0.317943854
3232000,0.3,0.38,0.44,0.22,4,646.3989,6.239927,0.85875,7.3,13.98,78.53,25639,0.00206663,7.979363037,51.56,26.63,21.81,32.065636,1.672583,31.486668,0.82254803,0.37,1025.909519,0.0633,2.13,0.430657857,0.398323737
1112500,0.15,0.21,0.27,0.11,5,1046.5722,0.21940205,1.0528,92.31,7.69,0,3665,1.00E-05,23.94975563,52.04,5.76,42.2,46.891068,2.3096807,39.33629,1.6713464,0.11,1277.18292,0.0001,14.24707692,0.325151558,0.575186693
3253500,0.28,0.5,0.49,0.23,6,8547.9147,2.8003368,0.887266667,3.48,51.99,39.04,15735,1.00E-05,118.7089003,51.7,39.94,8.36,101.471634,6.9733067,81.60426,3.4727502,0.3528,1073.787571,17.1111,1.507418355,0.167354557,0.757535795
4114000,0.2,0.32,0.42,0.16,6,3637.042,1.8137639,0.779866667,22.35,28.13,32.76,21599,0.0025318,32.04487775,24.26,10.15,65.6,65.49161,2.0617585,67.18563,1.11906,0.21,882.8374807,0.0292,23.84,0.250437464,0.538501902
8385630,0.1,0.11,0.14,0.09,5,16067.88,0.7454591,0.15028,0,0,0,114187,0.00096906,7.4901903,31.72,26.28,42,40.667988,1.5286586,69.66284,1.4223766,0.3012,345.9485348,3.3699,5.322355658,0.261172751,0.520898761
3229500,0.21,0.27,0.3,0.17,5,1421.1279,5.9042935,0.802355556,58.2,4.59,24.75,21050,0.00042712,13.76326786,50.57,23.19,26.24,42.81421,1.8110977,37.641617,1.1543028,0.3576,987.4922909,43.0701,6.802011834,0.621652639,0.312300777
5437500,0.27,0.38,0.32,0.19,7,16485.9021,0.39966625,0.76215,68.54,10.33,14.1,21667,0.00017533,143.7825214,44.97,18.22,36.8,143.7045,3.751847,141.98839,1.6428446,0.294,899.1378216,51.1388,14.28019858,0.170907287,0.645492353
2202040,0.32,0.49,0.48,0.23,6,5065.1766,0.17811435,0.7639,5.91,14.41,13.97,3319,1.00E-05,44.30814803,24.78,35.86,39.36,51.7193,3.0323899,43.666374,2.2171485,0.2216,1171.890265,0.1187,3.443465418,0.535013947,0.259643029
6926000,0.18,0.42,0.36,0.15,7,36158.4567,0.79791,0.7057,20.98,44.16,16.53,17201,1.00E-05,331.6624006,34.54,47.83,17.63,169.10286,4.439115,169.14835,4.694485,0.36,1102.405862,0.1761,3.33,0.215624879,0.593692963
7363500,0.24,0.49,0.44,0.17,6,5420.9916,0.21520595,0.917433333,10.35,0.82,0,3357,1.00E-05,75.94011019,52.45,22.14,25.42,76.59104,2.8252635,73.0293,2.4257104,0.39,1378.859414,76.0807,1.88,1.039054252,0.209229125
6875900,0.14,0.27,0.38,0.14,6,13694.4126,0.8265092,0.415683333,5.64,5.87,77.51,42280,0.00123772,7.647490129,59,26.35,14.64,27.964079,1.7434076,25.309526,0.77870214,0.3142,673.2714462,93.3331,3.980705111,0.570418624,0.795070133
5059000,0.19,0.32,0.48,0.13,5,11529.3078,0.41669944,0.44062,4.79,6.16,48.29,28456,0.00031562,8.117662293,30.5,13.59,55.9,36.65739,2.7079444,32.14541,1.460563,0.2264,573.4733932,124.3328,18.85038858,0.711091607,0.609749205
8124000,0.19,0.24,0.17,0.17,6,29691.7281,0.37658757,0.256575,20.05,1.44,15.82,54150,0.00125777,5.80313193,38.44,29.65,31.91,38.226498,1.881579,31.890354,1.0517462,0.2914,575.4202073,21.7813,3.923887415,0.768946569,0.266268859
2219000,0.3,0.49,0.44,0.24,4,462.5712,0.338263,0.824375,3.19,67.63,23.45,15812,0.00143705,6.542087169,29.88,33.41,36.71,30.24391,1.6714202,26.56177,1.0709953,0.2551,1234.654203,0.0466,4.877100242,0.279244442,0.468198536
6803513,0.19,0.3,0.27,0.14,5,1953.5859,0.33031833,0.5347375,55.73,0.4,17.07,33793,0.00046848,8.606948298,62.04,33.02,4.93,39.30127,3.8193493,28.968702,1.2593292,0.3188,775.655789,1.2022,2.407097965,0.405112955,0.619451413
